epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,17390.8,1.11865,0.70442,1.01376,0.7986,0.2845,0.33348,0.22114,0.877,1.17099,0.62931,0.005644,0.005644,0.005644
46,17804,1.11616,0.70413,1.01373,0.81007,0.28282,0.33325,0.22098,0.87724,1.1653,0.62951,0.005545,0.005545,0.005545
47,18219.6,1.10299,0.70204,1.00521,0.80872,0.28325,0.33378,0.22071,0.87742,1.15361,0.62937,0.005446,0.005446,0.005446
48,18631.5,1.1103,0.70136,1.00816,0.80839,0.28267,0.33345,0.22054,0.87837,1.13975,0.62974,0.005347,0.005347,0.005347
49,19042.9,1.10679,0.69802,1.00832,0.81212,0.28278,0.33352,0.22025,0.88003,1.13305,0.63022,0.005248,0.005248,0.005248
50,19455.7,1.10306,0.69209,1.00858,0.80866,0.28296,0.33337,0.22016,0.88089,1.12574,0.63064,0.005149,0.005149,0.005149
51,19867.8,1.0925,0.68765,1.00105,0.80331,0.28483,0.33328,0.22024,0.88173,1.11778,0.63063,0.00505,0.00505,0.00505
52,20280,1.09601,0.69215,1.00327,0.807,0.2844,0.33328,0.21976,0.88287,1.11233,0.63104,0.004951,0.004951,0.004951
53,20691.1,1.09702,0.69171,1.00353,0.79978,0.28454,0.3335,0.21948,0.88384,1.10295,0.6317,0.004852,0.004852,0.004852
54,21103.3,1.09425,0.6929,1.00414,0.80165,0.28426,0.33303,0.21911,0.88474,1.09835,0.63222,0.004753,0.004753,0.004753
55,21515.5,1.09384,0.68888,1.00336,0.80878,0.28278,0.33301,0.21869,0.8851,1.09536,0.63252,0.004654,0.004654,0.004654
56,21927,1.08331,0.67041,1.003,0.81842,0.28196,0.33316,0.21853,0.88609,1.09039,0.63301,0.004555,0.004555,0.004555
57,22340.5,1.07907,0.67654,1,0.81349,0.28239,0.33344,0.21877,0.88638,1.08716,0.63298,0.004456,0.004456,0.004456
58,22753.1,1.07959,0.67655,0.99952,0.81157,0.28239,0.33307,0.21859,0.88694,1.08166,0.63374,0.004357,0.004357,0.004357
59,23165.5,1.06781,0.67041,0.99467,0.80585,0.28169,0.33278,0.21845,0.8877,1.07046,0.63439,0.004258,0.004258,0.004258
60,23576.5,1.08067,0.66914,1.00127,0.80463,0.28068,0.33262,0.21826,0.8876,1.06065,0.63436,0.004159,0.004159,0.004159
61,23989.6,1.07074,0.66978,0.9928,0.80858,0.28059,0.33268,0.21825,0.88804,1.05099,0.63458,0.00406,0.00406,0.00406
62,24400.4,1.06881,0.66424,0.99409,0.8144,0.27922,0.33279,0.21835,0.88899,1.04379,0.63498,0.003961,0.003961,0.003961
