epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,6984.48,1.1524,0.87076,1.1381,0.80501,0.29202,0.34886,0.23082,0.91705,1.35804,0.74597,0.005545,0.005545,0.005545
56,8404.92,1.1478,0.87026,1.13272,0.79775,0.29346,0.34933,0.23107,0.91726,1.36145,0.74584,0.0054625,0.0054625,0.0054625
57,9813.17,1.13519,0.85401,1.12831,0.80119,0.2926,0.34945,0.23122,0.91763,1.35951,0.74598,0.00538,0.00538,0.00538
58,11204.8,1.13749,0.85879,1.12681,0.80195,0.2926,0.34962,0.23155,0.91785,1.36016,0.74561,0.0052975,0.0052975,0.0052975
59,12595.4,1.13602,0.8533,1.12478,0.80486,0.29303,0.35054,0.23186,0.9173,1.36593,0.74539,0.005215,0.005215,0.005215
60,13985.6,1.12064,0.84867,1.11658,0.80241,0.29446,0.35128,0.23245,0.91673,1.3665,0.74497,0.0051325,0.0051325,0.0051325
61,15376.3,1.12598,0.84947,1.12363,0.79789,0.29561,0.35195,0.23265,0.9158,1.37258,0.74477,0.00505,0.00505,0.00505
62,16768.2,1.12415,0.83686,1.11998,0.8018,0.2949,0.35162,0.23292,0.91605,1.37939,0.74487,0.0049675,0.0049675,0.0049675
63,18160.2,1.13226,0.8433,1.11975,0.80068,0.29533,0.35202,0.23339,0.91612,1.38266,0.74434,0.004885,0.004885,0.004885
64,19551.6,1.11801,0.83996,1.11382,0.80198,0.29633,0.3522,0.23348,0.91606,1.38254,0.74431,0.0048025,0.0048025,0.0048025
65,20939.9,1.11915,0.83249,1.1146,0.79993,0.29676,0.35284,0.23366,0.91628,1.39179,0.74435,0.00472,0.00472,0.00472
66,22326.1,1.11224,0.82563,1.11091,0.79794,0.2972,0.35266,0.23355,0.91713,1.39582,0.74449,0.0046375,0.0046375,0.0046375
67,23715,1.10335,0.81821,1.10743,0.79472,0.29777,0.35285,0.2336,0.91758,1.39792,0.74451,0.004555,0.004555,0.004555
68,25105.9,1.10782,0.82425,1.10872,0.78535,0.29863,0.35286,0.23366,0.91906,1.39992,0.74423,0.0044725,0.0044725,0.0044725
